2026/09/25 01:26:40.521, 2177 MHz, [N/A], 33.36 W, 87 %, 59, 0x0000000000000000
2026/09/25 01:26:41.022, 2177 MHz, [N/A], 33.36 W, 87 %, 58, 0x0000000000000000
2026/09/25 01:26:41.522, 2177 MHz, [N/A], 33.10 W, 84 %, 59, 0x0000000000000000
2026/09/25 01:26:42.022, 2177 MHz, [N/A], 33.46 W, 84 %, 59, 0x0000000000000000
2026/09/25 01:26:42.523, 2177 MHz, [N/A], 33.30 W, 86 %, 57, 0x0000000000000000
2026/09/25 01:26:43.023, 2177 MHz, [N/A], 33.29 W, 86 %, 59, 0x0000000000000000
2026/09/25 01:26:43.523, 2184 MHz, [N/A], 34.61 W, 91 %, 59, 0x0000000000000000
2026/09/25 01:26:44.023, 2177 MHz, [N/A], 34.21 W, 91 %, 57, 0x0000000000000000
2026/09/25 01:26:44.524, 2177 MHz, [N/A], 32.74 W, 88 %, 59, 0x0000000000000000
2026/09/25 01:26:45.024, 2177 MHz, [N/A], 32.68 W, 88 %, 58, 0x0000000000000000
2026/09/25 01:26:45.525, 2177 MHz, [N/A], 32.81 W, 83 %, 59, 0x0000000000000000
2026/09/25 01:26:46.025, 2177 MHz, [N/A], 32.95 W, 83 %, 59, 0x0000000000000000
2026/09/25 01:26:46.526, 2177 MHz, [N/A], 33.61 W, 91 %, 59, 0x0000000000000000
2026/09/25 01:26:47.027, 2177 MHz, [N/A], 33.68 W, 91 %, 59, 0x0000000000000000
2026/09/25 01:26:47.527, 2177 MHz, [N/A], 33.43 W, 88 %, 59, 0x0000000000000000
2026/09/25 01:26:48.028, 2177 MHz, [N/A], 33.55 W, 88 %, 59, 0x0000000000000000
2026/09/25 01:26:48.528, 2177 MHz, [N/A], 33.37 W, 82 %, 58, 0x0000000000000000
2026/09/25 01:26:49.029, 2177 MHz, [N/A], 33.43 W, 82 %, 59, 0x0000000000000000
2026/09/25 01:26:49.529, 2177 MHz, [N/A], 33.59 W, 89 %, 59, 0x0000000000000000
2026/09/25 01:26:50.029, 2177 MHz, [N/A], 33.65 W, 89 %, 59, 0x0000000000000000
2026/09/25 01:26:50.530, 2177 MHz, [N/A], 33.69 W, 90 %, 59, 0x0000000000000000
2026/09/25 01:26:51.030, 2177 MHz, [N/A], 33.73 W, 90 %, 60, 0x0000000000000000
2026/09/25 01:26:51.530, 2177 MHz, [N/A], 33.96 W, 89 %, 60, 0x0000000000000000
2026/09/25 01:26:52.030, 2177 MHz, [N/A], 33.95 W, 89 %, 59, 0x0000000000000000
2026/09/25 01:26:52.530, 2177 MHz, [N/A], 33.88 W, 89 %, 60, 0x0000000000000000
2026/09/25 01:26:53.031, 2177 MHz, [N/A], 33.79 W, 89 %, 60, 0x0000000000000000
2026/09/25 01:26:53.531, 2177 MHz, [N/A], 33.71 W, 86 %, 59, 0x0000000000000000
2026/09/25 01:26:54.032, 2177 MHz, [N/A], 33.59 W, 86 %, 60, 0x0000000000000000
2026/09/25 01:26:54.532, 2177 MHz, [N/A], 33.92 W, 91 %, 60, 0x0000000000000000
2026/09/25 01:26:55.033, 2177 MHz, [N/A], 33.65 W, 91 %, 60, 0x0000000000000000
2026/09/25 01:26:55.533, 2177 MHz, [N/A], 33.89 W, 85 %, 58, 0x0000000000000000
2026/09/25 01:26:56.033, 2177 MHz, [N/A], 33.96 W, 85 %, 60, 0x0000000000000000
2026/09/25 01:26:56.534, 2177 MHz, [N/A], 33.76 W, 91 %, 60, 0x0000000000000000
2026/09/25 01:26:57.034, 2177 MHz, [N/A], 33.63 W, 91 %, 60, 0x0000000000000000
2026/09/25 01:26:57.534, 2177 MHz, [N/A], 33.75 W, 90 %, 60, 0x0000000000000000
2026/09/25 01:26:58.035, 2177 MHz, [N/A], 33.59 W, 90 %, 60, 0x0000000000000000
2026/09/25 01:26:58.535, 2177 MHz, [N/A], 33.33 W, 85 %, 59, 0x0000000000000000
2026/09/25 01:26:59.036, 2177 MHz, [N/A], 33.60 W, 85 %, 60, 0x0000000000000000
2026/09/25 01:26:59.536, 2177 MHz, [N/A], 30.15 W, 0 %, 56, 0x0000000000000000
2026/09/25 01:27:00.037, 2184 MHz, [N/A], 18.95 W, 0 %, 56, 0x0000000000000000
2026/09/25 01:27:00.537, 2184 MHz, [N/A], 10.45 W, 0 %, 55, 0x0000000000000000
2026/09/25 01:27:01.038, 2184 MHz, [N/A], 10.40 W, 0 %, 55, 0x0000000000000000
2026/09/25 01:27:01.538, 2184 MHz, [N/A], 10.35 W, 0 %, 55, 0x0000000000000000
2026/09/25 01:27:02.039, 2184 MHz, [N/A], 10.36 W, 0 %, 55, 0x0000000000000000
2026/09/25 01:27:02.539, 2184 MHz, [N/A], 10.34 W, 0 %, 54, 0x0000000000000000
2026/09/25 01:27:03.041, 2184 MHz, [N/A], 10.26 W, 0 %, 54, 0x0000000000000000
2026/09/25 01:27:03.542, 2184 MHz, [N/A], 10.18 W, 0 %, 54, 0x0000000000000000
2026/09/25 01:27:04.042, 2184 MHz, [N/A], 10.16 W, 0 %, 54, 0x0000000000000000
2026/09/25 01:27:04.543, 2184 MHz, [N/A], 10.18 W, 0 %, 54, 0x0000000000000000
2026/09/25 01:27:05.044, 2184 MHz, [N/A], 10.14 W, 0 %, 54, 0x0000000000000000
2026/09/25 01:27:05.545, 2184 MHz, [N/A], 10.10 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:06.045, 2184 MHz, [N/A], 10.09 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:06.546, 2184 MHz, [N/A], 10.07 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:07.047, 2184 MHz, [N/A], 10.05 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:07.547, 2184 MHz, [N/A], 10.04 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:08.048, 2190 MHz, [N/A], 10.03 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:08.548, 2190 MHz, [N/A], 9.99 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:27:09.049, 2190 MHz, [N/A], 9.98 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:09.549, 2190 MHz, [N/A], 10.00 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:10.050, 2190 MHz, [N/A], 9.98 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:10.551, 2190 MHz, [N/A], 9.95 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:11.051, 2190 MHz, [N/A], 9.94 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:11.552, 2190 MHz, [N/A], 9.98 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:12.053, 2190 MHz, [N/A], 9.99 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:12.553, 2190 MHz, [N/A], 9.98 W, 0 %, 52, 0x0000000000000000
2026/09/25 01:27:13.054, 2190 MHz, [N/A], 10.01 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:13.555, 2190 MHz, [N/A], 9.98 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:14.056, 2190 MHz, [N/A], 9.93 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:14.556, 2190 MHz, [N/A], 9.95 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:15.057, 2190 MHz, [N/A], 9.95 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:15.558, 2190 MHz, [N/A], 9.91 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:16.058, 2190 MHz, [N/A], 9.92 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:16.559, 2190 MHz, [N/A], 9.92 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:17.060, 2190 MHz, [N/A], 9.90 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:17.560, 2190 MHz, [N/A], 9.90 W, 0 %, 51, 0x0000000000000000
2026/09/25 01:27:18.061, 2190 MHz, [N/A], 9.95 W, 0 %, 50, 0x0000000000000000
